﻿spotifyURI,trackName,artistName,albumName,discNumber,trackNumber,trackDuration,addedBy,addedAt
"spotify:track:7xj3v3gPWWytfwqHZRtdMj","Mykonos","Fleet Foxes","Mykonos","1","1","275306","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:11X4Gw3T4hoktVruLgTnm1","Heartbeats","José González","Veneer","1","4","160240","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:6IIjmqaDdO6vdEBasXsCve","Sweet Disposition","The Temper Trap","Sweet Disposition","1","1","234680","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:10ViidwjGLCfVtGPfdcszR","Home","Edward Sharpe & The Magnetic Zeros","Up From Below","1","6","306320","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:0fPf9CDFzVnHpcfld5XVtO","You've Got The Love","Florence + The Machine","You've Got The Love","1","1","168666","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:73M2Vb5MfZh8iGKudkMtlw","Always Like This","Bombay Bicycle Club","I Had The Blues But I Shook Them Loose","1","6","245640","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:5oUV6yWdDM0R9Q2CizRhIt","New Slang","The Shins","Oh, Inverted World","1","6","231173","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:04a7TQAQPkXBosRi7IovlM","New Shoes","Paolo Nutini","These Streets (Deluxe Version)","1","6","203653","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:49CP2usyaN98EdtrOWXnal","1234","Feist","The Reminder","1","9","183623","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:2iFSzunXMDRIO9Sx78Cykv","Silvia","Miike Snow","Miike Snow","1","3","385360","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:2iXdwVdzA0KrI2Q0iZNJbX","Better Together","Jack Johnson","In Between Dreams","1","1","207680","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:2nGFzvICaeEWjIrBrL2RAx","Put Your Records On","Corinne Bailey Rae","Corinne Bailey Rae","1","3","215360","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:2UXO3rKTfsfPieGDQHgG6q","Last Request","Paolo Nutini","These Streets (Deluxe Version)","1","2","220413","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:6ebxt3Iylxe0GcEuUGlIvb","Dreaming of You","The Coral","The Coral","1","4","141000","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:6rW8q1p2GCjGMRAlnxBeo7","Hang With Me","Robyn","Body Talk","1","7","259506","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:6ZLGthToczpvnL5Eoy6yrY","Pure Shores","All Saints","Saints & Sinners","1","1","268746","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:7BHPGtpuuWWsvE7cCaMuEU","Naive","The Kooks","Inside In / Inside Out","1","9","203506","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:18fwfypFEcZArzsRZgozs0","America","Razorlight","Razorlight (EU Version)","1","4","249760","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:3Sa3BLllDDw05udxXlba8p","Burning","The Whitest Boy Alive","Dreams","1","1","191173","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:497Fkp3gRiGrRMoqBTDudr","California - Tchad Blake Mix","Phantom Planet","The Guest","1","1","193933","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:63nkNgHkmfgjElTEnCzKYU","Rise","Gabrielle","Rise","1","2","219093","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:7g13jf3zqlP5S68Voo5v9m","Dancing On My Own - Radio Edit","Robyn","Body Talk","1","1","278080","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:2f14Vwn28w1soYnolluueL","Young Folks","Peter Bjorn and John","Electronic Beats Collectables Volume 1 Digital","1","11","278719","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:662u318704xl9XpTDRpcPy","Mushaboom","Feist","Let It Die","1","2","224506","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:7FxmsmphMyy09gdqGHeqFC","Man Must Dance","Johnossi","Johnossi","1","5","155373","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:5imShWWzwqfAJ9gXFpGAQh","Waiting On the World to Change","John Mayer","Continuum","1","1","201173","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:4hGOhC87bn7JBdYykOJJvJ","I'd Rather Dance With You","Kings of Convenience","Riot On An Empty Street","1","8","209026","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:27IZXTdeGYjU6m5lTyDpmr","The Funeral","Band of Horses","Everything All The Time","1","4","321146","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:7m2VsHmjyXZegtndWPgxOw","Wonderwall","Ryan Adams","Love Is Hell","1","6","248280","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:6GGNvvTFhTjYmM72KWrz1E","Sing","Travis","The Invisible Band","1","1","228800","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:0SbMdEc3vUpYyG7Od1Outj","Walking On A Dream","Empire of the Sun","Walking On A Dream","1","1","196346","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:258WCBHPsUHZvyBJcY2LCw","Nine Million Bicycles","Katie Melua","Piece By Piece","1","2","195453","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:62iqSNq1pRhVd0MQir3idT","Dance, Dance, Dance","Lykke Li","Youth Novels","1","2","221253","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:3FhNJaCNypOAnZccdYGAWN","Supergirl","Reamonn","Tuesday","1","2","246066","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:16MJqq0vEuW6GRX6faetTm","Whole Again","Atomic Kitten","Right Now","1","3","185013","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:1SKPmfSYaPsETbRHaiA18G","Somewhere Only We Know","Keane","Hopes And Fears","1","1","237146","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:3o9JsjPISLo2T9rcXLDT0a","The Girl You Lost To Cocaine","Sia","Some People Have REAL Problems (International Version)","1","5","160240","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:4XTTwW06rMgud7yS1nySZf","Animal","Miike Snow","Miike Snow","1","1","263880","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:2IMIbiJlbi0pIs3FBpKFhS","Warwick Avenue","Duffy","Rockferry","1","2","226386","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:0LAfANg75hYiV1IAEP3vY6","Take Your Mama","Scissor Sisters","Scissor Sisters","1","2","271906","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:7wTmnOSpVJcIzj5FIz2I04","Upside Down","Paloma Faith","Do You Want The Truth Or Something Beautiful?","1","5","189186","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:1ctdfJSzp6qF2iDAVdDrfl","About You Now","Sugababes","Change","1","1","212400","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:3AA8xNhDC0MpqwkGX3EP5V","If I Ever Feel Better","Phoenix","United","1","4","266600","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:0lKTwaoezVFOd1MC6MqViz","Chariot","Gavin DeGraw","Chariot","1","2","239693","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:5RfndPd7aG3Mazneoy9t8q","This Is The Life","Amy Macdonald","This is the Life (Special Edition)","1","2","184413","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:65Kt1dbZ53GRRvc3ngIRCk","With Every Heartbeat - with Kleerup","Robyn","Robyn (Special Edition)","1","7","251240","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:1hEh8Hc9lBAFWUghHBsCel","Porcelain","Moby","Play","1","3","238920","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:6ybViy2qrO9sIi41EgRJgx","Don't Know Why","Norah Jones","Come Away With Me","1","1","186146","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:5dKBaysNJtfpyNTRa5lqDb","A-Punk","Vampire Weekend","Vampire Weekend","1","3","137760","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:7kcyCnpHm1BZGB9Wc7MCZH","Golden Skans","Klaxons","Myths Of The Near Future","1","3","165120","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:6CAG3rBGPTAinoqgVD7fBJ","The Greatest","Cat Power","The Greatest","1","1","202560","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:7GmHOAdriOnI9s5S79GAUr","Come Along","Titiyo","Come Along","1","1","223733","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:0Cvjlph1WGbwZY1PlMEtJY","Come Away With Me","Norah Jones","Come Away With Me","1","5","198146","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:0x7L1Jp3nvOeaKVg0GGSyt","Geraldine","Glasvegas","Glasvegas","1","2","225253","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:2Y6CA1HAZjwPxBL8EZjwUW","Dance With Somebody","Mando Diao","Give Me Fire","1","2","317866","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:1J3w85cS3FEmoSKRu2dQJ8","Sea of Love","Cat Power","The Covers Record","1","12","139466","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:3tZm76otWH20xzJC7icHCk","Wish I Didn't Miss You","Angie Stone","Mahogany Soul","1","6","270893","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:5WuVWOngcRkMOx9RRLCvui","The Tide Is High - Radio Mix","Atomic Kitten","Atomic Kitten","1","3","205360","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:5hviCr3lgg6LY6noG6DPKs","Landslide","Dixie Chicks","Home","1","2","230549","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:3ptJBraFGtaeprD4BHmTfV","Ein Kompliment","Sportfreunde Stiller","Die gute Seite","1","3","197680","spotify:user:","2019-07-15T19:46:26Z"
"spotify:track:2SMn57cBVxoD4TArscpovk","Islands","The xx","xx","1","4","160720","spotify:user:","2019-07-15T19:46:26Z"
