﻿spotifyURI,trackName,artistName,albumName,discNumber,trackNumber,trackDuration,addedBy,addedAt
"spotify:track:28wGX1hoLCRbBZbEqITvE3","Ain't No Mountain High Enough - Stereo Version","Marvin Gaye, Tammi Terrell","The Very Best Of Marvin Gaye","1","10","146160","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:6kLcntOPE1j5JyvQZmb8oH","Shotgun","Jr. Walker & The All Stars","Shotgun","1","3","176626","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4yQw7FR9lcvL6RHtegbJBh","Think","Aretha Franklin","Aretha Now","1","1","139733","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:5Wj1rJnCLpMHdLaxsFtJLs","Bennie And The Jets - Remastered 2014","Elton John","Goodbye Yellow Brick Road (Remastered)","1","3","322548","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:7oK9VyNzrYvRFo7nQEYkWN","Mr. Brightside","The Killers","Hot Fuss","1","2","222586","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:3ZZq9396zv8pcn5GYVhxUi","Down Under","Men At Work","Business As Usual","1","3","222320","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:1kz3vwmLiBlW3A73exQSNx","You Really Got a Hold on Me","Percy Sledge","Warm & Tender Soul","1","3","173893","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:1bp2IO61zbQrbWNmKKxg3f","The Joker","Steve Miller Band","The Joker","1","5","264503","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:5zA8vzDGqPl2AzZkEYQGKh","Uptown Girl","Billy Joel","An Innocent Man","1","6","197706","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:5wj4E6IsrVtn8IBJQOd0Cl","Wonderwall - Remastered","Oasis","(What's The Story) Morning Glory? (Deluxe Edition) [Remastered]","1","3","258732","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0jWgAnTrNZmOGmqgvHhZEm","What's Up?","4 Non Blondes","Bigger, Better, Faster, More !","1","3","295493","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:2Bls0igCm79XQQ95IoUbhq","Mr. Big Stuff","Jean Knight","Mr. Big Stuff","1","1","164560","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:4DRBaZ760gyk7LWnaJFqsJ","I Want To Hold Your Hand - Remastered 2015","The Beatles","1 (Remastered)","1","4","145746","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:78WVLOP9pN0G3gRLFy1rAa","Piano Man","Billy Joel","Piano Man","1","2","336200","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:1zusIxNqJu8i4g6P6hJ2Qa","Mercy","Duffy","Rockferry","1","7","219920","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:0Y2SrByf4G3kbq2nBEHQRn","Spirit in the Sky","Norman Greenbaum","Music From The Motion Picture Michael","1","11","239600","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:1aj4GXfmEYXfdVZohCpNKu","Stand by Me","Otis Redding","Pain in My Heart","1","3","172333","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:44AXd3UVaaVYsSQqBpnYO2","Best Day Of My Life","American Authors","American Authors","1","2","194093","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:5YbgcwHjQhdT1BYQ4rxWlD","Don't Worry Be Happy","Bobby McFerrin","The Collection","1","1","292400","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:1JO1xLtVc8mWhIoE3YaCL0","Happy Together","The Turtles","Happy Together","1","6","176293","spotify:user:","2018-10-03T18:22:35Z"
"spotify:track:5uM9zdUz8PpYJME9wZCM4W","Baby Love - Juke Box Single Version","The Supremes","Where Did Our Love Go: 40th Anniversary Edition","1","15","156333","spotify:user:","2018-10-03T18:22:35Z"
