﻿spotifyURI,trackName,artistName,albumName,discNumber,trackNumber,trackDuration,addedBy,addedAt
"spotify:track:0TwC5a0VuD03SsbAXtgfd6","You've Got Your Whole Life Ahead Of You Baby","IDER","You've Got Your Whole Life Ahead Of You Baby","1","1","225440","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:1VOL6KDCwEduG95LNVvSyx","My People","James Hersey, Jeremy Loops","My People","1","1","178846","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:41fecZEX4sPrRxnjZQ6DGU","Landslide","Dagny","Landslide","1","1","179386","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:6jR6rBNVF9bHpvdNNqOjvg","Hold My Girl (Acoustic Version)","George Ezra","Hold My Girl (Acoustic Version)","1","1","211715","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:6OoRvnnief3Huz9mtUIVDk","Night Running","Millie Turner","Night Running","1","1","211325","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:5nTGyhsQmk8NHlg71ZEmmo","The walker","Christine and the Queens","Chris","1","3","256053","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:6isSTqlcHAXfKQ7JdsP5BJ","Lost","James Gillespie","Lost","1","1","200506","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:2mcmQR1Zq1wDl582Gm4aLC","Withorwithout","Parcels","Withorwithout","1","1","205048","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:0MJGEZXkdMj7uQUGhI6gj3","Straight To The Heart","Nick Talos, David Spekter","Straight To The Heart","1","1","152913","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:1DXJS269UOBH83Ano9JEvp","Calling Me Home","Emily Brimlow","Calling Me Home","1","1","243296","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:7gKB72lW18lE0pfo9GMzMJ","Dust","Matt Simons, Betty Who","After The Landslide","1","9","198479","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:2Uu1hqObahlzFDbZqjC6CR","Oh Dreamer","The Brilliance","Oh Dreamer","1","1","204440","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:0pVE0otGuUr9ya4T3p8A19","Halfway There","ROZES","Halfway There","1","1","207920","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:1AmM6S2tTt7j1IEmye5eWL","Make You Feel Like","Junge Junge, Redward Martin","Make You Feel Like","1","1","187372","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:7yOv1YISwpujFFQm6blOts","Grip - Alternative Version","Seeb, Bastille","Grip (Alternative Version)","1","1","233105","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:2Qk6sZWWa8cSD42IBQd3u1","Don't Need Me","James Hersey, narou","Innerverse","1","3","203585","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:0JK0gDlfNpKFHTMvogOCP5","Moving On","Anna Of The North","Lovers","1","1","281880","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:2K8elWg8ihrZRwZJ7Gy6L3","Come Home To Me","LÉON","LÉON","1","4","225868","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:4PEbNdnFtpko90iC0W9I2u","Be Real","Rasmus Faber, Metaxas","Be Real","1","1","226222","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:05RmevbSKDvHHKpYBoXYfR","Fresh Roses","Juke Ross","Fresh Roses","1","1","201093","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:7kStxK6rzxka5SRlg1lzhz","Let Me Live (feat. Anne-Marie & Mr Eazi) - Acoustic","Rudimental, Major Lazer, Anne-Marie, Mr Eazi","Let Me Live (feat. Anne-Marie & Mr Eazi) [Acoustic]","1","1","218049","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:6dnPMrlvN8w1KIgV8pb9Gu","Give Me a Light","Jay Arrow","Give Me a Light","1","1","195638","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:4JWQC6gyYoPRnxRxk0ta2M","Peer Pressure (feat. Julia Michaels)","James Bay, Julia Michaels","Peer Pressure (feat. Julia Michaels)","1","1","176880","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:7tDqtZnEQcgAE92mEMtgnF","Cool Again","Shoffy","Cool Again","1","1","191935","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:1iUImy2tasM9RmL5TPkSVz","Theme Song (I'm Far Away)","MØ","Theme Song (I'm Far Away)","1","1","149121","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:6PspLxCglJJH7bu14CZf4T","Reasons","NAKED KOALA, Olaf Blackwood","Reasons","1","1","173944","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:6zX7txo7TYY5FnD2Fhckf7","Liquid","RuthAnne","Liquid","1","1","163835","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:2ymSNj7e3CjonAXyN9etmb","Make the Move","Chris James","MELLOW!","1","2","175813","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:7GajeLvMksa794ZEQXwRSy","The Few Things","JP Saxe, Charlotte Lawrence","The Few Things","1","1","211567","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:5qmSe5KyErKYdWxbCy1JeM","4 AM","Ea Kaya","4 AM","1","1","200234","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:1hV75RKxZt8p9C79mQVGgy","You're Somebody Else","flora cash","Nothing Lasts Forever (And It's Fine)","1","2","218883","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:53Wsf11ElpPr1WAGtRQlcx","Feels Like This","Maisie Peters","Dressed Too Nice For A Jacket","1","6","223346","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:60CKMDImvHjEpPsQ8qKle5","Wrong Kind Of People","Baker Grace","Wrong Kind of People","1","1","193590","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:4GcNU5rgS4syTK4lxI2XGX","Hunt Me Down","Ellysse Mason","Hunt Me Down","1","1","291500","spotify:user:","2019-07-29T05:00:53Z"
"spotify:track:0mGjx7RlO48qjGczwsfNu3","Last Night","GRAACE","Last Night","1","1","209360","spotify:user:","2019-07-29T05:00:53Z"
