﻿spotifyURI,trackName,artistName,albumName,discNumber,trackNumber,trackDuration,addedBy,addedAt
"spotify:track:0sMImBteCIVUKNhcyx3Cyx","Today Is a Gift","Beowülf","Today Is a Gift","1","1","154775","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:0Ucp9R4EEzAWsphalR0wLH","Honolulu","Slumberville","Honolulu","1","1","135984","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:0Hm8vke3rwzGKm5sBpY762","Stay and Wander","Tom Doolie, Cap Kendricks","Field Notes","1","6","112000","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:2TVVXlOqianxo3AbYe45mn","One With the Wind","GentleBeatz","Floating","1","3","133399","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:43LF4H7u7x8OnDlSkhh2ar","Strive","Ollie Morris","Strive","1","1","123288","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:2IyZHf11b0mmL3K3jYyqMM","Wonders of the Unknown","Behind Clouds, sar.casm","The Unknown","1","1","140500","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:6WXjgmyJpFklnDQ6k9htCg","Right Now","Through & Through","Frames","1","6","115800","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:4llpWUJEWKHGVZzYv1nYid","Save Me","H E R B","Existance","1","4","84427","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:5wDX4ZPOGPJY3e5sJWtYVu","grnsh","mago","grnsh","1","1","124285","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:5nKSxq2yNgQLtgzqJxPn41","i wish it would never stop snowing","Sleepy Fish","Chillhop Essentials Spring 2019","1","24","196500","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:1AzfhvDwYiu9SdtKvIJcXk","If I Ever Build a House","Axian","If I Ever Build a House","1","1","185441","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:5Pxb3DpymMiRl8JDiOXTPE","Life","Lost Son","Life","1","1","79204","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:0sRg0YVlQNN3klM0NtysR4","Ukulele and Chill","Cody G","Ukulele and Chill","1","1","170666","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:0cZcOtDqLaavK7LowhTBsa","sunny","j'san, Pandrezz","sunny","1","1","139130","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:28PYwyQETvCDNXMRBFAtzr","Choke","Sonn","Choke","1","1","180000","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:3YNUXos2DxxfC4ZwNAfjwi","better things","Ymori, Pueblo Vista","Better Things","1","3","126981","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:3LRD83xy49LRTidwhKjbG0","You're Welcome","Bertholet, Sebastian Kamae","You're Welcome","1","1","107586","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:5hgX8pSZSOcKhsvzldsgWy","for you","jhfly","jhfly","1","4","188611","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:4zMdab1CnihodiQ9WKYYlC","spirals","Slowheal","perceptions","1","11","192023","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:2kRIzQCgP2apb7ERUHBcZ2","ORANGE","SINY","Shinigami","1","2","160456","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:0mU2FFAoymgpzK707A9Pe9","plant lullaby","AGM","plant lullaby","1","1","163772","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:4pI7VTiN59CZnGJUgVZPoy","Murmuration","Blue Wednesday, Shopan","Chillhop Essentials Spring 2019","1","1","156000","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:682SASISAeIORs1FZB4Qm4","forder","Delayde","blue moon","1","12","86197","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:0ONn7t8x49V3tOR5ZcIrpf","Your Favorite Place","Joey Pecoraro","Chillhop Essentials Winter 2017","1","4","221536","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:2ygAdR5sXq1VpATied1LDw","Urban Stories","Chill Cole","KEEN: Soft Beats Vol. 1","1","4","302295","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:0x3JF5cqEMI6Sl1EQj0GgS","New York - Extended","StriveAU","Vans with My Ol' Sweater","1","13","111046","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:6okflAl3X7elXPx7MgJMi6","I Have Love for Everyone Besides Myself.","Barnes Blvd.","Last Summer","1","4","161238","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:4c2TiYoJHIjEPZ5syRZhsY","sekao","Delayde","running around dreaming","1","3","132000","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:43u2nrHfKmxQZwkQ3LAMG6","Cerveza","Sebastian Kamae","Cerveza","1","1","179250","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:1PdJvxvhuImI0dpuWoPwWe","hammock","mommy","hometown","1","3","116061","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:4KMvfofdk7H9eMijiOWYag","Daydream","Eli Way","Chillhop Essentials Spring 2019","1","11","224000","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:4w5ggUnIrrO3WET8fx2ImS","Breather","Epifania","Breather","1","1","153502","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:5CM5Z9GvrivuJs50a2T4hM","home for a while","s. lyre, Delayde","singing in my room","1","4","151807","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:5IgVgcvWjHoHVRpbLFHKM6","Ciruela","Dontcry, Casiio","Veggie / Ciruela","1","2","108195","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:76Yal7OOUDF3iaqchERzMf","Drxzzl_","invention_","Re-Leaf","1","2","152361","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:0IQGNx2y8xUec752lNCUQk","End Credits","Handbook","End Credits","1","1","172277","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:4UVPZVegkvVUEytaViWdym","Constellations - Recorded at Spotify Studios NYC","Sam Barsh, The Deli","Spotify Singles (Recorded at Spotify Studios NYC)","1","1","115856","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:0xxtz0hWZgpVFwDGQce6DH","Tarumi","Garot Michael Conklin","Tarumi","1","1","234755","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:0RcR3h212FCt1Uo4qPoSKT","Aquamarine","yonderling","Another Summer","1","1","169090","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:0zG88msHnVqSfHOb14KNSW","St. Tropez","DLJ, no one's perfect","St. Tropez","1","1","120192","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:1GPRmRcadnmINbJlutkseu","Fireworks","Nymano, Pandrezz","Hometown","1","3","138000","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:034ZKE6KJpa8yVpAPQ9AMT","Misty - Recorded at Spotify Studios NYC","Sam Barsh, The Deli","Spotify Singles (Recorded at Spotify Studios NYC)","1","2","98772","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:19umVTVtQDDhqjnJjsSByX","Waking Up Is Hard Sometimes","a boy with a balloon","Waking Up Is Hard Sometimes","1","1","136000","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:7rc0xyHymWRp3JGajelI2k","Shinigami","SINY","Shinigami","1","1","134088","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:128NFfRwPv2zdj0fZGEsLe","Daffodils","Guustavv","Asparuhgus","1","4","126163","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:19K24V0kGvNLFYCR8jMs88","It's Ok","Pandrezz, j'san","It's Ok","1","1","168297","spotify:user:","2019-07-10T18:04:45Z"
"spotify:track:589cCabnAfa9gC0Nsd9g24","one day","Smeyeul.","always temporary","1","6","115200","spotify:user:","2019-07-10T18:04:45Z"
