﻿spotifyURI,trackName,artistName,albumName,discNumber,trackNumber,trackDuration,addedBy,addedAt
"spotify:track:2pnJ87yTVpkgtZh6Tq4vKh","Solar Sailer","Daft Punk","TRON: Legacy","1","15","162120","spotify:user:","2012-01-30T19:04:53Z"
"spotify:track:5lCJIgiqGmkc7uP6YJ0COc","Nightcall","Kavinsky","Nightcall","1","1","259933","spotify:user:","2012-01-20T19:19:18Z"
"spotify:track:6i8UuMvmxCqD0dh82Avk8t","End of Line","Daft Punk, Photek","TRON Legacy: Reconfigured","1","11","318720","spotify:user:","2012-01-20T19:19:18Z"
"spotify:track:1ldYmnw4FViuG9jgiprY4C","AFG","Sensible Soccers","8","1","3","565000","spotify:user:johanbrook","2016-01-29T15:12:10Z"
"spotify:track:4zSbFrERDuBdZ1Bio9uee4","Looped","Kiasmos","Kiasmos","1","3","360705","spotify:user:johanbrook","2016-02-01T10:53:14Z"
"spotify:track:11eSOZQj0od3y6DQHGloSW","Just Like You Imagined","Nine Inch Nails","The Fragile","1","7","229866","spotify:user:","2012-01-20T19:21:42Z"
"spotify:track:3Il1ess0dinvEagLM3dTzG","BULLETS","KAYTRANADA, Little Dragon","99.9%","1","15","299000","spotify:user:johanbrook","2017-05-04T20:45:38Z"
"spotify:track:50CgC2wKmbWm4WLQKY87oP","In Motion","Trent Reznor and Atticus Ross","The Social Network","1","2","296770","spotify:user:","2012-01-20T20:05:55Z"
"spotify:track:6obXvjVF91KAeLNDOECFvi","Töntarna","kent","Röd","1","10","277826","spotify:user:","2012-01-25T20:11:26Z"
"spotify:track:4SMciQoW2tOVieBAg6U2Qj","I Know the Truth","Pretty Lights","I Know the Truth - Single","1","1","288000","spotify:user:","2012-01-30T19:02:39Z"
"spotify:track:5o2YcsHjtgUzHY55y0XEro","Rinzler","Daft Punk, Kaskade","TRON Legacy: Reconfigured","1","9","412440","spotify:user:","2012-01-30T19:03:42Z"
"spotify:track:6VcpAyyJ8CoKTI9Z9ea0fb","The Hologram/Binary Sunset - Medley","John Williams, London Symphony Orchestra","Star Wars Episode IV: A New Hope (Original Motion Picture Soundtrack)","1","6","248426","spotify:user:","2012-02-06T19:20:39Z"
"spotify:track:7pX3KmDzgmBwPUI5CIBpOo","DisChipo","FantomenK","FantomenK","1","4","325223","spotify:user:","2012-02-29T21:22:24Z"
"spotify:track:6zeemXaeg9l8vBllGdNxnw","Inception - Junkie XL Remix","Hans Zimmer","Inception (Junkie XL Remix)","1","1","553958","spotify:user:","2012-03-01T17:52:57Z"
"spotify:track:30sHxvIflGaWj7nnd3oSTo","Monkey Island","Dubmood","Atari-Ska L'Atakk","1","3","110331","spotify:user:","2012-03-15T19:03:10Z"
"spotify:track:4GspJiSjfLnpAqd8pMK32l","Disc Wars","Daft Punk","TRON: Legacy","1","17","251440","spotify:user:","2012-01-30T19:05:03Z"
"spotify:track:1Srpv2y8O0hBqn18LY6ddt","Virgin Birds","FantomenK","FantomenK","1","13","293406","spotify:user:","2012-03-18T10:27:00Z"
"spotify:track:44OU8uZ2h9xVcJgKPJKU77","The Game Has Changed","Daft Punk","TRON: Legacy","1","8","205480","spotify:user:","2012-01-30T19:04:09Z"
"spotify:track:7cdEysgRomnjgMpGomDVyf","Ta mig till havet!","Algar","Morgonstund","1","5","143360","spotify:user:","2012-05-02T21:26:53Z"
"spotify:track:1Thv8uCYzyOFC7PME9J936","The Island - Pt. I (Dawn)","Pendulum","Immersion","1","8","320173","spotify:user:","2012-05-02T21:29:17Z"
"spotify:track:5FCyoZGaN6nRod1oNDJIWZ","Breathe","The Prodigy","The Fat of the Land","1","2","334800","spotify:user:","2012-05-02T21:29:52Z"
"spotify:track:1ruXsrxW36j1XGoqBtm8Yf","Algardansen","Algar","Christer Sjögrens favoriter 2003-2006","1","1","90240","spotify:user:","2012-05-07T17:32:45Z"
"spotify:track:5IEPFjL1IaFrWNcuPoiYXR","The Massacre","FantomenK","FantomenK","1","10","171495","spotify:user:","2012-03-25T19:43:17Z"
"spotify:track:6yCNHyzseat7CeTbeGBNaa","Some Chords","deadmau5","4x4=12","1","1","443140","spotify:user:","2012-05-19T15:46:35Z"
"spotify:track:31uidLEHAcF8Cw1cX1VCS8","Autobahn - 2009 Remaster","Kraftwerk","Autobahn (2009 Remastered Version)","1","1","1367093","spotify:user:","2012-01-20T19:19:30Z"
"spotify:track:3ONL7uf1GN8FewlmIjy1uv","Paris (Aeroplane Remix)","Friendly Fires","Paris","1","2","465386","spotify:user:","2012-05-19T18:31:35Z"
"spotify:track:2zAcsTUNxD9pRwzB6euNOy","La Ritournelle","Sébastien Tellier","Narco","1","13","455106","spotify:user:","2012-05-21T19:39:35Z"
"spotify:track:1CdIfdzx5Dqgk0WcSKYlDT","BREAK THE CHAIN (feat. Eric Turner & Sway)","Lupe Fiasco, Eric Turner, Sway","Lasers","1","10","261640","spotify:user:","2012-06-25T18:44:04Z"
"spotify:track:4IkgcBeRd6R8MJgdYWg4te","Midnight City [Eric Prydz Private Remix] - Eric Prydz Private Remix","M83","Midnight City [Eric Prydz Private Remix]","1","1","361740","spotify:user:","2012-06-28T12:09:41Z"
"spotify:track:0bXpmJyHHYPk6QBFj25bYF","Intro","The xx","xx","1","1","127920","spotify:user:","2012-07-26T21:14:49Z"
"spotify:track:1v0uVPU6BWcbog5BiWLWVa","Hand Covers Bruise","Trent Reznor and Atticus Ross","The Social Network","1","1","258637","spotify:user:","2012-08-17T09:36:11Z"
"spotify:track:1jikEfVwDhMVo4itxekCRp","Right This Second","deadmau5","4x4=12","1","9","470374","spotify:user:","2012-09-01T13:29:19Z"
"spotify:track:0cM9xIaDQ4DBhH7wMfwqQV","Fall","Daft Punk","TRON: Legacy","1","14","82613","spotify:user:","2012-01-30T19:04:43Z"
