time,lat,long,alt,hr,speed,distance
2019-06-09T08:30:34.000Z,51.04969804175198,13.737134970724583,117.19999694824219,113,2.546999931335449,2.7100000381469727
2019-06-09T08:30:35.000Z,51.049722181633115,13.737137904390693,117.0,117,2.0989999771118164,5.409999847412109
2019-06-09T08:30:36.000Z,51.04974288493395,13.737138994038105,117.0,120,2.1089999675750732,7.710000038146973
2019-06-09T08:30:38.000Z,51.049794936552644,13.73715148307383,117.0,123,2.3980000019073486,13.579999923706055
2019-06-09T08:30:40.000Z,51.049825279042125,13.737163301557302,117.0,126,2.565999984741211,17.040000915527344
2019-06-09T08:30:42.000Z,51.0498696193099,13.737179897725582,117.0,129,2.249000072479248,22.100000381469727
2019-06-09T08:30:43.000Z,51.04989334009588,13.737187357619405,117.0,132,2.4630000591278076,24.790000915527344
2019-06-09T08:30:44.000Z,51.04991429485381,13.737191129475832,117.0,132,2.500999927520752,27.1299991607666
2019-06-09T08:30:45.000Z,51.049933321774006,13.73719590716064,117.0,135,2.500999927520752,29.280000686645508
2019-06-09T08:30:52.000Z,51.0501148737967,13.737204540520906,117.0,134,2.6500000953674316,49.529998779296875
2019-06-09T08:30:58.000Z,51.05028636753559,13.737029442563653,117.4000015258789,136,2.677999973297119,72.52999877929688
2019-06-09T08:31:01.000Z,51.050316793844104,13.736891308799386,117.5999984741211,139,2.697000026702881,82.77999877929688
2019-06-09T08:31:04.000Z,51.05034386739135,13.73675812035799,117.5999984741211,142,2.7990000247955322,92.58999633789062
2019-06-09T08:31:11.000Z,51.050384351983666,13.736464586108923,117.19999694824219,142,2.8459999561309814,113.80000305175781
2019-06-09T08:31:16.000Z,51.050414107739925,13.736260570585728,117.0,143,2.8550000190734863,128.75
2019-06-09T08:31:21.000Z,51.05046699754894,13.73602512292564,116.80000305175781,139,2.994999885559082,146.10000610351562
2019-06-09T08:31:28.000Z,51.050545955076814,13.73574759811163,116.5999984741211,139,3.0230000019073486,167.47000122070312
2019-06-09T08:31:34.000Z,51.050613010302186,13.73546571470797,116.19999694824219,140,3.0789999961853027,188.6300048828125
2019-06-09T08:31:40.000Z,51.05066799558699,13.73516421765089,115.80000305175781,143,3.125999927520752,210.86000061035156
2019-06-09T08:31:43.000Z,51.05063748545945,13.734975960105658,115.5999984741211,140,3.181999921798706,224.07000732421875
2019-06-09T08:31:48.000Z,51.050653578713536,13.734690304845572,115.19999694824219,140,3.23799991607666,244.30999755859375
2019-06-09T08:31:53.000Z,51.05072624981403,13.734392831102014,114.80000305175781,141,3.23799991607666,266.739990234375
2019-06-09T08:31:59.000Z,51.05085306800902,13.73409946449101,114.4000015258789,143,3.302999973297119,290.2900085449219
2019-06-09T08:32:05.000Z,51.05090939439833,13.733795620501041,114.0,143,3.443000078201294,312.54998779296875
2019-06-09T08:32:11.000Z,51.05099740438163,13.733505606651306,114.0,141,3.4800000190734863,335.6700134277344
2019-06-09T08:32:16.000Z,51.05113168247044,13.733348697423935,114.0,144,3.5360000133514404,354.0899963378906
2019-06-09T08:32:18.000Z,51.051200246438384,13.733308045193553,114.0,141,3.5269999504089355,362.20001220703125
2019-06-09T08:32:24.000Z,51.05138917453587,13.73319354839623,114.4000015258789,138,3.619999885559082,384.6700134277344
2019-06-09T08:32:30.000Z,51.051552621647716,13.73306505382061,114.5999984741211,139,3.5829999446868896,404.95001220703125
2019-06-09T08:32:36.000Z,51.051724534481764,13.732911329716444,114.80000305175781,138,3.6019999980926514,426.8999938964844
2019-06-09T08:32:41.000Z,51.05187197215855,13.732775207608938,115.4000015258789,141,3.6480000019073486,445.8699951171875
2019-06-09T08:32:46.000Z,51.052018236368895,13.73265165835619,115.80000305175781,138,3.6670000553131104,464.30999755859375
2019-06-09T08:32:52.000Z,51.05219257995486,13.73250070028007,116.0,141,3.686000108718872,486.4200134277344
2019-06-09T08:32:59.000Z,51.052350075915456,13.73234965838492,116.19999694824219,143,3.6579999923706055,506.8999938964844
2019-06-09T08:33:03.000Z,51.05242517776787,13.732256954535842,116.0,140,3.630000114440918,517.52001953125
2019-06-09T08:33:09.000Z,51.052574291825294,13.732097027823329,115.4000015258789,139,3.6110000610351562,537.5499877929688
2019-06-09T08:33:15.000Z,51.052748803049326,13.731949171051383,114.19999694824219,141,3.4619998931884766,559.489990234375
2019-06-09T08:33:20.000Z,51.05291744694114,13.731838529929519,113.0,140,3.759999990463257,579.780029296875
2019-06-09T08:33:26.000Z,51.053096652030945,13.731686482205987,111.80000305175781,141,3.6760001182556152,602.489990234375
2019-06-09T08:33:27.000Z,51.05312565341592,13.73166024684906,111.80000305175781,138,3.6579999923706055,606.2100219726562
2019-06-09T08:33:32.000Z,51.053256914019585,13.731516832485795,111.80000305175781,142,3.6110000610351562,624.0399780273438
2019-06-09T08:33:39.000Z,51.05342664755881,13.73134852387011,111.80000305175781,140,3.443000078201294,646.3099975585938
2019-06-09T08:33:45.000Z,51.05361197143793,13.731212737038732,111.4000015258789,139,3.4619998931884766,669.010009765625
2019-06-09T08:33:52.000Z,51.053773909807205,13.731041830033064,111.0,142,3.443000078201294,690.6599731445312
2019-06-09T08:33:55.000Z,51.053854543715715,13.73097519390285,111.0,138,3.4149999618530273,700.77001953125
2019-06-09T08:34:01.000Z,51.05403911322355,13.730851477012038,110.80000305175781,141,3.434000015258789,722.9299926757812
2019-06-09T08:34:08.000Z,51.05421940796077,13.73070060275495,110.5999984741211,140,3.443000078201294,745.469970703125
2019-06-09T08:34:14.000Z,51.054374389350414,13.730763969942927,110.5999984741211,143,3.4059998989105225,765.0999755859375
